participant_id	stimulus	engaging	enjoyable	educational
sub-01	Stim-01	6	6	7
sub-01	Stim-02	7	7	3
sub-01	Stim-03	7	7	7
sub-01	Stim-04	5	4	6
sub-01	Stim-05	5	4	6
sub-02	Stim-01	6	6	6
sub-02	Stim-02	5	5	5
sub-02	Stim-03	6	6	6
sub-02	Stim-04	5	5	6
sub-02	Stim-05	5	5	6
sub-03	Stim-01	7	7	7
sub-03	Stim-02	6	6	7
sub-03	Stim-03	7	7	7
sub-03	Stim-04	7	7	7
sub-03	Stim-05	7	7	7
sub-05	Stim-01	6	7	6
sub-05	Stim-02	6	7	7
sub-05	Stim-03	6	6	7
sub-05	Stim-04	6	6	7
sub-05	Stim-05	6	6	7
sub-06	Stim-01	4	4	4
sub-06	Stim-02	5	5	4
sub-06	Stim-03	7	7	7
sub-06	Stim-04	4	4	4
sub-06	Stim-05	4	4	4
sub-07	Stim-01	6	5	6
sub-07	Stim-02	7	7	7
sub-07	Stim-03	5	5	6
sub-07	Stim-04	3	2	6
sub-07	Stim-05	6	6	6
sub-08	Stim-01	6	6	6
sub-08	Stim-02	6	6	7
sub-08	Stim-03	5	6	5
sub-08	Stim-04	6	5	7
sub-08	Stim-05	6	6	5
sub-09	Stim-01	7	6	7
sub-09	Stim-02	5	6	7
sub-09	Stim-03	5	6	6
sub-09	Stim-04	5	6	6
sub-09	Stim-05	5	5	5
sub-12	Stim-01	6	6	6
sub-12	Stim-02	6	6	7
sub-12	Stim-03	5	6	5
sub-12	Stim-04	5	5	6
sub-12	Stim-05	5	5	6
sub-13	Stim-01	7	7	7
sub-13	Stim-02	2	2	4
sub-13	Stim-03	6	6	5
sub-13	Stim-04	5	5	7
sub-13	Stim-05	7	7	7
sub-14	Stim-01	6	6	6
sub-14	Stim-02	7	7	7
sub-14	Stim-03	3	2	6
sub-14	Stim-04	6	3	6
sub-14	Stim-05	5	7	7
sub-15	Stim-01	6	6	6
sub-15	Stim-02	6	5	6
sub-15	Stim-03	6	6	6
sub-15	Stim-04	3	4	5
sub-15	Stim-05	6	6	5
sub-18	Stim-01	6	6	6
sub-18	Stim-02	5	5	6
sub-18	Stim-03	6	6	6
sub-18	Stim-04	6	6	6
sub-18	Stim-05	6	6	5
sub-19	Stim-01	5	6	6
sub-19	Stim-02	6	7	6
sub-19	Stim-03	6	6	6
sub-19	Stim-04	5	5	6
sub-19	Stim-05	7	7	7
sub-20	Stim-01	6	6	7
sub-20	Stim-02	6	6	6
sub-20	Stim-03	6	7	6
sub-20	Stim-04	4	3	5
sub-20	Stim-05	6	4	6
sub-21	Stim-01	6	7	6
sub-21	Stim-02	6	6	5
sub-21	Stim-03	6	6	7
sub-21	Stim-04	7	6	7
sub-21	Stim-05	5	6	5
sub-22	Stim-01	6	6	6
sub-22	Stim-02	5	5	6
sub-22	Stim-03	5	4	6
sub-22	Stim-04	6	5	6
sub-22	Stim-05	6	6	6
sub-23	Stim-01	6	6	6
sub-23	Stim-02	6	6	5
sub-23	Stim-03	6	6	6
sub-23	Stim-04	6	6	6
sub-23	Stim-05	7	6	6
sub-24	Stim-01	5	4	6
sub-24	Stim-02	6	6	6
sub-24	Stim-03	5	5	6
sub-24	Stim-04	6	6	7
sub-24	Stim-05	6	6	6
sub-25	Stim-01	6	6	6
sub-25	Stim-02	6	5	6
sub-25	Stim-03	3	4	6
sub-25	Stim-04	6	6	6
sub-25	Stim-05	3	4	5
sub-27	Stim-01	6	5	6
sub-27	Stim-02	7	7	7
sub-27	Stim-03	7	7	7
sub-27	Stim-04	7	7	7
sub-27	Stim-05	7	7	7
sub-29	Stim-01	7	7	7
sub-29	Stim-02	6	6	6
sub-29	Stim-03	5	5	5
sub-29	Stim-04	6	6	6
sub-29	Stim-05	7	7	7
sub-30	Stim-01	3	2	4
sub-30	Stim-02	2	2	4
sub-30	Stim-03	6	6	6
sub-30	Stim-04	6	6	6
sub-30	Stim-05	6	7	6
sub-31	Stim-01	7	7	7
sub-31	Stim-02	6	6	7
sub-31	Stim-03	6	6	6
sub-31	Stim-04	5	6	6
sub-31	Stim-05	7	7	7
sub-32	Stim-01	6	6	7
sub-32	Stim-02	6	6	6
sub-32	Stim-03	6	7	7
sub-32	Stim-04	6	6	7
sub-32	Stim-05	7	6	6
sub-33	Stim-01	6	4	7
sub-33	Stim-02	6	6	6
sub-33	Stim-03	6	7	7
sub-33	Stim-04	6	5	6
sub-33	Stim-05	6	6	6
sub-34	Stim-01	6	6	7
sub-34	Stim-02	6	6	6
sub-34	Stim-03	6	6	6
sub-34	Stim-04	6	6	7
sub-34	Stim-05	6	7	7
sub-35	Stim-01	6	5	6
sub-35	Stim-02	6	5	6
sub-35	Stim-03	2	4	4
sub-35	Stim-04	6	6	6
sub-35	Stim-05	5	5	7
sub-36	Stim-01	6	6	7
sub-36	Stim-02	3	2	5
sub-36	Stim-03	1	2	4
sub-36	Stim-04	1	2	7
sub-36	Stim-05	6	4	6
